trialNumber fingerIndex targetForce tolerance upper lower deadline reactingtime result
154 3 3 0.8 1.374926 0.5252218 0.950074 0.950074 0
155 0 3 0.8 1.374926 0.8498089 1.112368 1.039764 1
156 2 3 0.8 1.374926 0.8498089 1.112368 0.8531799 1
157 3 3 0.8 1.374926 0.8498089 1.112368 0.9733429 1
158 1 4 0.5 3.6 0 1.8 1.8 0
159 2 4 0.5 3.6 1.3752 2.4876 1.119736 1
160 2 4 0.5 3.6 1.3752 2.4876 0.733078 1
161 1 4 0.5 3.6 1.3752 2.4876 0.8931885 1
162 0 4 0.5 2.750126 1.3752 2.062663 2.062663 0
163 3 4 0.5 2.750126 1.900422 2.325274 1.173203 1
164 1 4 0.5 2.750126 1.900422 2.325274 0.7599182 1
165 0 4 0.5 2.750126 1.900422 2.325274 1.159973 1
166 3 4 0.5 2.425539 1.900422 2.162981 1.133408 1
167 2 4 0.5 2.425539 1.900422 2.162981 0.9999542 1
168 2 4 0.5 2.425539 1.900422 2.162981 0.8400726 1
169 3 4 0.6 3.6 0 1.8 1.013214 1
170 1 4 0.6 3.6 0 1.8 0.7736816 1
171 0 4 0.6 3.6 0 1.8 0.8135834 1
172 2 4 0.6 2.2248 0 1.1124 1.1124 0
173 2 4 0.6 2.2248 0.8498736 1.537337 0.7159119 1
174 1 4 0.6 2.2248 0.8498736 1.537337 0.8532867 1
175 0 4 0.6 2.2248 0.8498736 1.537337 0.9470673 1
176 2 4 0.6 1.699578 0.8498736 1.274726 0.8227539 1
177 3 4 0.6 1.699578 0.8498736 1.274726 0.9199371 1
178 2 4 0.6 1.699578 0.8498736 1.274726 0.7465363 1
179 2 4 0.6 1.374991 0.8498736 1.112432 0.7999268 1
180 1 4 0.6 1.374991 0.8498736 1.112432 1.013 1
181 2 4 0.6 1.374991 0.8498736 1.112432 0.8098755 1
182 1 4 0.7 3.6 0 1.8 1.013474 1
183 1 4 0.7 3.6 0 1.8 1.173386 1
184 1 4 0.7 3.6 0 1.8 0.759964 1
185 1 4 0.7 2.2248 0 1.1124 0.8000336 1
186 2 4 0.7 2.2248 0 1.1124 0.9333344 1
187 1 4 0.7 2.2248 0 1.1124 0.8135529 1
188 1 4 0.7 1.374926 0 0.6874631 0.6874631 0
189 0 4 0.7 1.374926 0.5252218 0.950074 0.950074 0
190 2 4 0.7 1.374926 0.8498089 1.112368 0.6932983 1
191 0 4 0.7 1.374926 0.8498089 1.112368 0.7335815 1
192 1 4 0.7 1.374926 0.8498089 1.112368 0.9599915 1
193 1 4 0.8 3.6 0 1.8 0.6399231 1
194 3 4 0.8 3.6 0 1.8 0.9601135 1
195 0 4 0.8 3.6 0 1.8 0.7998657 1
196 3 4 0.8 2.2248 0 1.1124 0.8933411 1
197 0 4 0.8 2.2248 0 1.1124 0.8534851 1
198 1 4 0.8 2.2248 0 1.1124 0.7330933 1
199 0 4 0.8 1.374926 0 0.6874631 0.6874631 0
200 1 4 0.8 1.374926 0.5252218 0.950074 0.716156 1
201 3 4 0.8 1.374926 0.5252218 0.950074 0.7997131 1
202 2 4 0.8 1.374926 0.5252218 0.950074 0.6397705 1
203 1 4 0.8 1.050339 0.5252218 0.7877805 0.6533813 1
204 0 4 0.8 1.050339 0.5252218 0.7877805 0.7877805 0
